pre,post,weight
268725517,5813088767,1
268725517,5812981679,1
268725517,5812981086,1
268725517,736467640,1
268725517,363716151,1
268725517,424789697,1
268725517,860261985,1
268725517,5813021251,1
268725517,847293869,1
268725517,1109568528,1
268725517,1016114585,1
268725517,971459227,1
268725517,332685751,1
268725517,5812983346,1
268725517,5812983851,1
268725517,332353566,1
268725517,363729312,1
268725517,299613480,1
268725517,5812980378,2
268725517,970772961,1
268725517,861285145,3
268725517,363034407,1
268725517,939738424,1
268725517,1048004460,1
268725517,815922095,1
268725517,5813058069,1
268725517,582148591,1
268725517,5813082811,1
268725517,643703819,1
268725517,1327831994,1
268725517,799219795,2
268725517,849370258,1
268725517,5813081797,1
268725517,360941147,1
268725517,5813056372,1
268725517,923359312,1
268725517,5813022341,2
268725517,426477089,1
268725517,1109568718,1
268725517,5812980567,1
268725517,611646132,1
268725517,849685478,1
268725517,5812980425,1
268725517,5813068743,1
268725517,735790008,1
268725517,456121649,1
268725517,939734266,1
268725517,5813033267,1
268725517,1297815807,3
268725517,5812980618,1
268725517,5813098738,1
268725517,425431837,1
268725517,5813021772,1
268725517,612669205,1
268725517,797514653,3
268725517,298595394,4
268725517,579592619,1
268725517,940070913,1
268725517,569615641,1
268725517,487847296,1
268725517,603422422,1
268725517,643535876,1
268725517,766298734,1
268725517,877659583,1
268725517,5812983303,1
268725517,328253133,1
268725517,860266062,1
268725517,5813091744,1
268725517,5813114700,5
268725517,600365719,6
268725517,393383025,1
268725517,5812980369,1
268725517,878670047,1
268725517,1231299343,2
268725517,394768379,1
268725517,5812983454,1
268725517,612668833,1
268725517,5813063229,3
268725517,425086839,2
268725517,1078874826,2
268725517,5813077589,5
268725517,332353438,1
268725517,332353336,1
268725517,426818061,7
268725517,630373497,3
268725517,549571627,3
268725517,755234235,1
268725517,815926323,1
268725517,5813055914,2
268725517,363725201,3
268725517,542371432,5
268725517,673715784,2
268725517,455793743,2
268725517,5812980426,1
268725517,5812980179,1
268725517,456808311,1
268725517,767161677,1
268725517,1077851551,1
268725517,518212987,1
268725517,723853340,1
268725517,5812981673,2
268725517,5812980768,3
268725517,549248200,5
268725517,519905418,3
268725517,5812983114,2
268725517,1064891781,3
268725517,940079513,1
268725517,5812983213,1
268725517,642680823,3
268725517,456846996,1
268725517,704746449,8
268725517,488520820,7
268725517,642680826,4
268725517,704409742,1
268725517,1078875017,1
268725517,394427392,2
268725517,519573128,6
268725517,5813019609,2
268725517,5813062850,1
268725517,518873469,3
268725517,693841929,1
268725517,611304789,2
268725517,393766777,10
268725517,704409534,4
268725517,359598627,1
268725517,5813054343,2
268725517,393387426,1
268725517,5813110238,1
268725517,5812981607,1
268725517,5813010617,2
268725517,1387575003,8
268725517,5813078053,2
268725517,551113395,1
268725517,5812980351,1
268725517,333035349,1
268725517,548898520,1
268725517,5813075824,4
268725517,705774051,1
268725517,798869986,2
268725517,5812981680,4
268725517,798874090,1
268725517,425086851,2
268725517,644896959,1
268725517,5812980792,6
268725517,456462919,2
268725517,518195738,6
268725517,5813114971,4
268725517,5812981379,2
268725517,631396453,1
268725517,5812980566,4
268725517,455431209,2
268725517,940075056,18
268725517,849370246,1
268725517,5813032943,3
268725517,5813092931,4
268725517,5813021033,4
268725517,5813078507,1
268725517,364070517,1
268725517,767494105,8
268725517,482762280,1
268725517,1108545472,4
268725517,704746457,6
268725517,578694777,1
268725517,422725634,12
268725517,394414724,1
268725517,5812980940,1
268725517,425790257,17
268725517,5813060643,6
268725517,1328513713,2
268725517,550271272,1
268725517,940084011,2
268725517,1418273110,6
268725517,5813021261,2
268725517,1234386037,16
268725517,5812980938,4
268725517,5812983837,5
268725517,519555690,7
268725517,1016805008,9
268725517,425276848,6
268725517,861280857,4
268725517,5812982782,12
268725517,1048207713,2
268725517,642680969,6
268725517,798196461,1
268725517,642335523,9
268725517,477861840,6
268725517,5813021999,1
268725517,611646147,5
268725517,5812981643,10
268725517,5813021788,9
268725517,1034198388,14
268725517,5813105172,6
268725517,829235909,8
268725517,456462835,3
268725517,733036127,11
268725517,573065577,5
268725517,611646050,5
268725517,799215269,11
268725517,517858947,4
268725517,1196854070,7
268725517,5812980803,1
268725517,456467162,2
268725517,1328505485,9
268725517,5812982780,11
268725517,5812980555,1
268725517,1388585088,10
294436967,829235909,1
294436967,1234472633,1
294436967,488520820,1
294436967,642680969,1
294436967,861285145,1
294436967,456462835,2
294436967,542371432,1
294436967,704746449,1
294436967,1328505485,1
294436967,328546871,1
294436967,1034198388,1
294436967,5812982782,1
294436967,5813110152,1
294436967,477861840,2
294436967,5813114971,1
294436967,799215269,1
294436967,1173417505,1
294436967,456462919,1
294436967,1142019878,2
294436967,600365719,3
294436967,1077847238,1
294436967,663091787,1
294436967,5813114700,1
294436967,1064891781,1
294436967,517858947,1
294436967,767494105,1
294436967,5813032771,2
294436967,642335523,1
294436967,1231299343,1
294436967,5812980940,1
294436967,5813092931,1
294436967,519555690,1
294436967,940075056,1
294436967,5813060643,1
294436967,642680826,2
294436967,5813077589,1
294436967,5812980566,2
294436967,733036127,1
294436967,446826981,2
294436967,425790257,7
294436967,861280857,2
294436967,1224137495,1
294436967,1078874826,1
294436967,5813021788,1
294436967,542039038,3
294436967,423382015,1
294436967,5813071348,1
294436967,704409534,2
294436967,1388585088,2
294436967,704746457,2
294436967,549248200,3
294436967,5812980938,2
294436967,1418273110,1
294436967,1172713521,2
294436967,328533761,8
294436967,5813021033,1
294436967,331662710,1
294436967,360941147,1
294436967,487143497,1
294436967,611646147,1
294436967,5813010617,2
294436967,300972942,1
294436967,5812980792,2
294436967,611646050,2
294436967,518195738,1
301314154,549576424,1
301314154,736126717,2
301314154,578694777,1
301314154,829568160,1
301314154,1141329053,1
301314154,5812983309,1
301314154,5812983575,1
301314154,394755645,1
301314154,766820559,1
301314154,5812981965,1
301314154,5812980802,1
301314154,5812981950,1
301314154,1048854479,1
301314154,860607168,1
301314154,1328522741,1
301314154,5813096281,1
301314154,891642345,1
301314154,5812983328,1
301314154,5813086212,2
301314154,5813022050,1
301314154,860603005,2
301314154,1016123127,1
301314154,1140750808,1
301314154,5812983745,1
301314154,1077851524,1
301314154,394755782,1
301314154,359598627,2
301314154,425445301,2
301314154,5812982316,1
301314154,328546871,2
301314154,363724985,1
301314154,891637860,1
301314154,332008063,1
301314154,331662668,1
301314154,301314208,1
301314154,816219578,1
301314154,909704857,2
301314154,970772961,2
301314154,847595624,1
301314154,754879354,2
301314154,5813075824,1
301314154,767502639,1
301314154,1203066401,1
301314154,860607480,2
301314154,891978843,1
301314154,5813021447,2
301314154,753489951,1
301314154,879032295,1
301314154,860607367,1
301314154,5813032946,1
301314154,508292573,2
301314154,798537638,1
301314154,5813019607,2
301314154,5812983319,1
301314154,332349228,1
301314154,1450011431,1
301314154,1419019956,1
301314154,756567539,1
301314154,332003730,2
301314154,940084095,1
301314154,331999156,3
301314154,755868550,2
301314154,5813021316,2
301314154,487143497,1
301314154,5812983533,1
301314154,332344670,1
301314154,922677121,1
301314154,5813081511,1
301314154,5813021411,1
301314154,910386568,2
301314154,753489892,2
301314154,5812982760,2
301314154,767502657,2
301314154,800264315,2
301314154,1234386037,2
301314154,753852265,2
301314154,754538763,1
301314154,815585355,1
301314154,5813021645,1
301314154,940087822,1
301314154,5813063449,1
301314154,847250148,1
301314154,5812981136,1
301314154,877987539,1
301314154,798537701,2
301314154,328253133,2
301314154,971118588,1
301314154,5812982521,1
301314154,540730639,2
301314154,860607450,4
301314154,5812981970,2
301314154,5812980597,2
301314154,5812980965,1
301314154,1047157958,2
301314154,785888696,1
301314154,860607455,1
301314154,1077847238,2
301314154,551113395,1
301314154,754163207,1
301314154,816219675,1
301314154,643535876,2
301314154,891642281,2
301314154,329435390,4
301314154,5812983427,2
301314154,5812982520,5
301314154,784844112,2
301314154,5813021989,1
301314154,767502627,1
301314154,5812983298,2
301314154,939729706,1
301314154,424789697,4
301314154,5813021397,2
301314154,692792746,6
301314154,5812983133,1
301314154,858725815,1
301314154,455431209,1
301314154,815921891,3
301314154,551790913,3
301314154,1069295830,1
301314154,848316930,1
301314154,662103124,3
301314154,860607503,2
301314154,331662710,2
301314154,363034501,1
301314154,1047153433,1
301314154,815926323,1
301314154,829572252,3
301314154,878337317,1
301314154,5812980395,1
301314154,332690153,2
301314154,1110972158,3
301314154,5813055916,1
301314154,753489735,2
301314154,970777114,4
301314154,923018247,1
301314154,5813021446,4
301314154,846952407,1
301314154,5813021016,1
301314154,971118202,1
301314154,798537456,2
301314154,477262101,2
301314154,551790504,2
301314154,332344539,1
301314154,5813021135,3
301314154,767502579,2
301314154,940083749,2
301314154,5812980432,1
301314154,569334986,5
301314154,707660374,1
301314154,798192162,1
301314154,923726321,1
301314154,939738424,2
301314154,332685594,1
301314154,5813068729,5
301314154,985429128,1
301314154,363375247,1
301314154,767161677,1
301314154,5813021292,2
301314154,5813021999,2
301314154,939742503,10
301314154,363379387,1
301314154,940084152,3
301314154,1046816660,1
301314154,846611908,3
301314154,846616006,1
301314154,818637585,3
301314154,798537392,2
301314154,300972942,9
301314154,1016118651,8
301314154,829231385,2
301314154,755173189,2
301314154,424767514,2
301314154,848321392,2
301314154,5813042659,5
301314154,395105113,1
301314154,1141328881,2
301314154,642516892,3
301314154,847254513,2
301314154,1016122913,1
301314154,363375475,4
301314154,394755742,5
301314154,5813019513,3
301314154,860944055,3
301314154,1196854070,7
301314154,877313996,6
301314154,5812980220,2
301314154,5813020828,8
301314154,5813105172,6
301314154,5812980557,1
301314154,939742609,2
301314154,5812980600,2
301314154,422725634,17
301314154,733036127,13
301314154,970777224,11
301314154,5812980379,3
301314154,784882707,3
301314154,1047183897,1
301314154,1077851551,1
301314154,5813022341,4
301314154,363370708,5
301314154,425790257,55
301314208,818637585,1
301314208,5812980207,1
301314208,363724985,1
301314208,829572544,1
301314208,705432638,1
301314208,860607503,2
301314208,487489064,1
301314208,860607367,1
301314208,5813021316,1
301314208,785888696,1
301314208,860265987,1
301314208,332003899,1
301314208,363384138,1
301314208,551790504,2
301314208,891642176,1
301314208,877318574,1
301314208,5812983319,1
301314208,846616006,1
301314208,5812981042,1
301314208,754163207,1
301314208,5812982426,1
301314208,332344760,1
301314208,5812980379,1
301314208,394759626,1
301314208,422682603,1
301314208,1047157958,2
301314208,5813032946,1
301314208,363375475,2
301314208,5813056395,1
301314208,601388689,1
301314208,5812982875,1
301314208,454252960,1
301314208,1047183897,3
301314208,798537701,1
301314208,328253133,1
301314208,767502667,2
301314208,5813021135,3
301314208,393766777,3
301314208,5812981970,1
301314208,755234235,3
301314208,736126717,2
301314208,328533761,1
301314208,1173732234,1
301314208,692110379,1
301314208,363030040,1
301314208,786929029,1
301314208,1141678637,1
301314208,784844112,3
301314208,798537456,1
301314208,5901207528,1
301314208,815926323,2
301314208,1046816660,1
301314208,5813021292,2
301314208,332685594,2
301314208,785232629,2
301314208,5812983309,1
301314208,860261985,1
301314208,1265852784,2
301314208,848662421,1
301314208,1141290835,3
301314208,1173745411,1
301314208,972128731,1
301314208,1203066401,1
301314208,332344592,2
301314208,5813021017,1
301314208,970777114,1
301314208,424789697,4
301314208,5812980799,1
301314208,394755632,1
