bodyId,type,is_dopaminergic
1001453586,KCa'b'-ap1,0
1003474104,KCa'b'-ap1,0
1003474283,KCg-m,0
1003478461,KCg-m,0
1003837184,KCg-d,0
1004514584,KCg-d,0
1004514714,KCg-d,0
1004527604,KCg-m,0
1004527691,KCg-m,0
1004527700,KCg-m,0
1005179264,KCg-m,0
1005179377,KCg-d,0
1016114585,PAM11,1
1016118449,PAM11,1
1016118651,KCab-c,0
1016122913,KCab-c,0
1016123127,KCab-c,0
1016459595,KCab-m,0
1016805008,KCab-p,0
1016835041,MBON09,0
1016839809,PAM06_a,1
1017819398,KCa'b'-ap2,0
1017992752,PAM06_a,1
1018164997,KCa'b'-ap1,0
1018510191,KCa'b'-ap1,0
1019024473,PAM07,1
1019347828,PAM08_a,1
1034198388,KCab-p,0
1035557785,KCg-m,0
1035562328,KCg-m,0
1036559440,KCg-m,0
1036559490,KCg-m,0
1036563762,KCa'b'-ap1,0
1046812283,KCab-m,0
1046816660,KCab-c,0
1047153433,KCab-c,0
1047157746,KCab-m,0
1047157958,KCab-c,0
1047183897,PAM04_a,1
1047489962,PAM11,1
1047525093,PAM01_a,1
1047835635,KCa'b'-m,0
1048004460,PAM09,1
1048172314,PPL103,1
1048207713,PAM09,1
1048215779,MBON09,0
1048517845,KCa'b'-m,0
1048854479,KCa'b'-ap2,0
1049549402,KCa'b'-ap1,0
1049549412,KCa'b'-ap1,0
1050249677,PAM07,1
1050585709,PAM03,1
1051630846,PAM08_e,1
1064891781,KCab-p,0
1067598881,KCg-m,0
1068272038,KCg-m,0
1068276312,KCg-m,0
1068613227,KCg-m,0
1068613231,KCg-m,0
1068613282,KCg-m,0
1068617431,KCg-m,0
1068954342,KCg-m,0
1068954391,KCg-m,0
1068958593,KCg-m,0
1068958652,KCg-m,0
1069295816,KCg-m,0
1069295830,KCg-m,0
1077847238,PAM11,1
1077851524,KCab-c,0
1077851551,KCab-c,0
1078007730,PAM04_a,1
1078525257,KCab-m,0
1078534091,KCab-s,0
1078534115,KCab-s,0
1078572735,PAM04_a,1
1078693835,MBON09,0
1078874826,KCab-p,0
1078875017,KCab-s,0
1079215685,KCa'b'-ap2,0
1079707882,PAM04_a,1
1080566792,KCa'b'-ap2,0
1080579786,KCa'b'-ap1,0
1080579985,KCa'b'-ap1,0
1080580151,KCg-m,0
1081086613,PAM12,1
1081434698,PAM07,1
1081767446,PAM05,1
1096919756,KCg-m,0
1097265345,KCg-m,0
1100675450,KCg-m,0
1100675497,KCg-m,0
1101012503,KCg-m,0
1101353948,KCg-m,0
1108541296,KCab-m,0
1108545472,KCab-p,0
1108545599,KCab-s,0
1109223365,KCab-m,0
1109568528,KCab-s,0
1109568718,PAM11,1
1109957857,PAM01_a,1
1110298200,PAM02,1
1110307501,PAM08_b,1
1110937445,KCg-m,0
1110972158,PAM10,1
1110985490,KCg-m,0
1110997994,PAM08_b,1
1111278454,KCg-m,0
1111615136,KCa'b'-ap2,0
1111947403,KCa'b'-ap1,0
1112125413,PAM07,1
1127604950,KCg-d,0
1129323248,KCg-m,0
1130687130,KCab-s,0
1139667240,MBON13,0
1139724251,PAM06_a,1
1139921468,KCab-m,0
1139921865,KCab-m,0
1140603698,KCab-s,0
1140655376,PAM02,1
1140655624,PAM08_c,1
1140737968,PAM08_b,1
1140738351,PAM08_c,1
1140750808,PAM04_a,1
1140750938,PAM08_e,1
1140950118,KCg-m,0
1140996390,PAM04_a,1
1141000881,PAM08_b,1
1141006088,KCg-m,0
1141009503,PAM08_b,1
1141009899,KCg-m,0
1141010036,KCg-m,0
1141268794,KCg-d,0
1141290695,KCg-m,0
1141290835,KCg-m,0
1141324564,PAM08_e,1
1141328881,PAM04_a,1
1141329053,PAM04_a,1
1141329227,PAM13,1
1141337518,KCg-m,0
1141337557,PAM08_d,1
1141337605,PAM08_e,1
1141337629,KCg-m,0
1141337663,KCg-m,0
1141337757,KCg-m,0
1141342258,PAM08_a,1
1141342260,KCg-m,0
1141342299,KCg-m,0
1141346217,KCg-m,0
1141346308,KCg-m,0
1141346462,KCg-m,0
1141346472,KCg-m,0
1141350537,PAM08_b,1
1141630854,KCg-m,0
1141631198,KCg-m,0
1141631240,KCg-m,0
1141636055,KCg-m,0
1141636389,KCg-m,0
1141674495,KCg-m,0
1141678637,KCg-m,0
1141678665,PAM12,1
1141678931,KCg-m,0
1141678948,PAM08_e,1
1141682748,KCg-m,0
1141687128,PAM07,1
1141687352,KCg-m,0
1141691881,KCg-m,0
1141692008,PAM08_a,1
1141972158,KCg-m,0
1141972202,KCg-m,0
1141976953,KCg-m,0
1141977014,KCg-m,0
1141977071,KCg-m,0
1142011140,PAM07,1
1142019737,KCg-m,0
1142019868,KCg-m,0
1142019878,KCg-s4,0
1142024290,KCg-m,0
1142028710,KCg-m,0
1142356511,KCg-m,0
1142356576,PAM08_a,1
1142360528,KCg-m,0
1142365351,PAM08_a,1
1142658717,KCg-m,0
1142706421,KCg-m,0
1142994933,KCg-m,0
1143332046,KCg-m,0
1143340753,KCg-m,0
1143677310,KCg-m,0
1143686159,KCg-m,0
1161731111,KCg-m,0
1162063500,KCab-m,0
1164113870,KCg-m,0
1165465632,KCg-m,0
1169657925,KCa'b'-ap1,0
1169661785,KCa'b'-ap2,0
1169989698,PAM05,1
1169989859,PAM05,1
1169993905,PAM05,1
1169999059,KCa'b'-ap1,0
1170322501,PAM06_a,1
1170326256,KCa'b'-ap1,0
1170326295,KCa'b'-ap1,0
1170335262,KCa'b'-ap1,0
1170344185,KCa'b'-ap1,0
1170348225,PAM06_a,1
1170404875,PAM05,1
1170413425,PAM06_a,1
1170606692,KCab-s,0
1170667130,KCa'b'-ap1,0
1171280441,KCg-d,0
1171431567,PAM01_a,1
1171436073,PAM13,1
1171617407,KCg-d,0
1171621616,KCg-d,0
1171621682,KCg-d,0
1171690432,PAM02,1
1171690479,PAM05,1
1171704378,KCg-m,0
1171759765,PAM08_e,1
1171772286,PAM08_a,1
1171785552,PAM13,1
1172031461,PAM08_c,1
1172044382,KCg-m,0
1172053274,KCg-m,0
1172363878,KCg-m,0
1172372291,KCg-m,0
1172372382,KCg-m,0
1172372655,PAM02,1
1172385513,KCg-m,0
1172433712,PAM08_e,1
1172441674,PAM12,1
1172446050,PAM08_a,1
1172446164,PAM07,1
1172665846,KCg-m,0
1172670463,KCg-m,0
1172704683,KCg-m,0
1172713514,KCg-m,0
1172713521,KCg-s1,0
1172730733,KCg-m,0
1172774470,PAM15_a,1
1172796014,PAM08_a,1
1173007139,PAM14,1
1173011450,PAM13,1
1173016042,KCg-m,0
1173045815,PAM12,1
1173054679,KCg-m,0
1173063302,KCg-m,0
1173067651,KCg-m,0
1173072129,KCg-m,0
1173076392,PAM08_e,1
1173076523,PAM08_e,1
1173347968,KCa'b'-ap2,0
1173391076,KCg-m,0
1173408617,KCg-m,0
1173417505,KCg-d,0
1173732234,KCg-m,0
1173745220,KCg-m,0
1173745330,PAM08_a,1
1173745411,KCg-m,0
1173753977,PAM08_e,1
1173814525,MBON34,0
1174008477,KCg-m,0
1174077762,KCg-m,0
1174384118,KCg-m,0
1174410293,KCg-d,0
1174712037,KCg-m,0
1175070762,KCg-d,0
1191392918,KCg-d,0
1196854070,PPL101,1
1200351169,KCa'b'-ap2,0
1200351200,KCa'b'-ap2,0
1200683283,KCa'b'-ap2,0
1200687716,PAM06_a,1
1200687913,KCa'b'-ap2,0
1200700424,KCa'b'-ap2,0
1200752926,PAM06_a,1
1200753147,PAM06_b,1
1200753289,PAM06_a,1
1201028519,KCa'b'-ap1,0
1201032707,KCa'b'-ap1,0
1202060409,KCa'b'-ap1,0
1202125326,PAM01_b,1
1202397143,PAM01_b,1
1202410042,KCg-m,0
1202462198,PAM02,1
1202470836,PAM07,1
1202673723,KCa'b'-ap2,0
1202737975,KCg-m,0
1203066201,PAM02,1
1203066222,PAM04_a,1
1203066401,PAM04_a,1
1203070528,PAM01_a,1
1203420037,KCg-m,0
1203424360,KCg-m,0
1203433388,KCg-d,0
1203709763,KCa'b'-m,0
1203756972,KCg-d,0
1203769621,KCg-d,0
1203769862,KCg-d,0
1203774485,KCg-d,0
1203774508,KCg-d,0
1203779116,KCg-d,0
1203783013,KCg-d,0
1204076441,KCg-m,0
1204124270,PAM01_a,1
1204124281,KCg-d,0
1204175835,PAM07,1
1204391417,PAM13,1
1204443547,KCg-m,0
1204447548,KCg-m,0
1204547624,PAM12,1
1204775735,KCg-m,0
1204784216,KCg-m,0
1204875505,PAM12,1
1205090786,PAM12,1
1205225146,PAM12,1
1206114100,PAM12,1
1224137476,KCg-m,0
1224137495,KCg-s3,0
1231299343,PAM11,1
1231718414,KCa'b'-ap2,0
1231735257,KCa'b'-ap2,0
1232654731,KCg-m,0
1233428010,PAM01_a,1
1233436396,PAM06_b,1
1233436426,PAM03,1
1233436479,PAM15_b,1
1233492573,PAM01_b,1
1233501275,PAM13,1
1233505806,PAM02,1
1233703950,KCab-s,0
1233773217,PAM01_a,1
1234386037,MBON07,0
1234472633,KCg-d,0
1234481054,PAM01_a,1
1234731487,PAM14,1
1234800242,KCg-m,0
1234809285,KCg-d,0
1235115629,KCg-d,0
1235150293,KCg-d,0
1236073998,KCg-m,0
1236816635,KCg-m,0
1237814053,KCg-d,0
1261989183,KCab-s,0
1262744824,PAM06_b,1
1263832477,PAM03,1
1264186300,PAM01_a,1
1265157632,KCg-m,0
1265852784,KCg-d,0
1266478519,PAM12,1
1266871604,PAM01_a,1
1267164975,KCg-m,0
1267868586,KCg-d,0
1268861712,KCg-d,0
1294465669,KCa'b'-ap2,0
1295225451,PAM04_b,1
1295501882,PAM02,1
1295566429,PAM02,1
1295855722,PAM01_b,1
1297202769,KCg-m,0
1297556652,KCg-m,0
1297815807,PAM10,1
1313496027,KCa'b'-ap2,0
1326813363,PAM08_a,1
1327494939,KCab-s,0
1327831724,KCa'b'-m,0
1327831994,KCab-s,0
1328505485,KCab-p,0
1328513713,PAM10,1
1328522741,PAM10,1
1354411526,KCg-d,0
1359212271,KCab-s,0
1359553384,KCab-s,0
1387575003,KCab-p,0
1387583729,PAM03,1
1387583807,PAM03,1
1388585088,KCab-p,0
1390618359,KCab-m,0
1390942076,KCab-s,0
1392655948,KCg-t,0
1418273110,KCab-p,0
1418351262,PAM04_a,1
1419019956,PAM04_a,1
1420306364,KCab-m,0
1420651734,KCab-m,0
1420966843,KCab-s,0
1421666260,KCab-m,0
1449670372,KCab-s,0
1450011431,KCab-c,0
1451341240,KCab-c,0
1451695303,KCab-m,0
1515418525,KCa'b'-m,0
268725517,PAM09,1
294436967,PPL203,1
298595394,PAM10,1
299613480,PAM09,1
300968622,KCab-m,0
300972942,MBON14,0
301309622,KCab-c,0
301314150,KCab-c,0
301314154,KCab-c,0
301314208,KCab-c,0
301318641,KCab-c,0
328253133,PAM10,1
328533761,PPL201,1
328546871,PAM10,1
329435390,PAM10,1
331662668,KCab-m,0
331662710,PPL106,1
331662717,KCab-s,0
331999156,KCab-c,0
331999213,KCab-s,0
332003372,KCab-c,0
332003629,KCab-m,0
332003730,KCab-c,0
332003895,KCab-m,0
332003899,KCab-c,0
332007728,KCab-m,0
332008063,KCab-m,0
332008082,KCab-m,0
332340127,KCab-s,0
332340236,KCab-m,0
332344539,KCab-c,0
332344592,KCab-c,0
332344670,KCab-c,0
332344760,KCab-c,0
332344908,KCab-m,0
332349228,KCab-c,0
332349327,KCab-c,0
332353106,KCab-m,0
332353336,KCab-m,0
332353438,KCab-s,0
